Time(s),Voltage(V)
-20.0000000000,-0.0050312500
-19.9960000000,-0.0051093750
-19.9920000000,-0.0049375000
-19.9880000000,-0.0050625000
-19.9840000000,-0.0051093750
-19.9800000000,-0.0050156250
-19.9760000000,-0.0048437500
-19.9720000000,-0.0049687500
-19.9680000000,-0.0049375000
-19.9640000000,-0.0050468750
-19.9600000000,-0.0050312500
-19.9560000000,-0.0051406250
-19.9520000000,-0.0049375000
-19.9480000000,-0.0050468750
-19.9440000000,-0.0050781250
-19.9400000000,-0.0051250000
-19.9360000000,-0.0050000000
-19.9320000000,-0.0051406250
-19.9280000000,-0.0051718750
-19.9240000000,-0.0050000000
-19.9200000000,-0.0049531250
-19.9160000000,-0.0051562500
-19.9120000000,-0.0050468750
-19.9080000000,-0.0048281250
-19.9040000000,-0.0051718750
-19.9000000000,-0.0051406250
-19.8960000000,-0.0050312500
-19.8920000000,-0.0051406250
-19.8880000000,-0.0052656250
-19.8840000000,-0.0050468750
-19.8800000000,-0.0050625000
-19.8760000000,-0.0050468750
-19.8720000000,-0.0050781250
-19.8680000000,-0.0051250000
-19.8640000000,-0.0051875000
-19.8600000000,-0.0049218750
-19.8560000000,-0.0050000000
-19.8520000000,-0.0048125000
-19.8480000000,-0.0049375000
-19.8440000000,-0.0050000000
-19.8400000000,-0.0051562500
-19.8360000000,-0.0050468750
-19.8320000000,-0.0051250000
-19.8280000000,-0.0048750000
-19.8240000000,-0.0048906250
-19.8200000000,-0.0051562500
-19.8160000000,-0.0050156250
-19.8120000000,-0.0049218750
-19.8080000000,-0.0051562500
-19.8040000000,-0.0050312500
-19.8000000000,-0.0051562500
-19.7960000000,-0.0049062500
-19.7920000000,-0.0047968750
-19.7880000000,-0.0050937500
-19.7840000000,-0.0051562500
-19.7800000000,-0.0048750000
-19.7760000000,-0.0050468750
-19.7720000000,-0.0051406250
-19.7680000000,-0.0048750000
-19.7640000000,-0.0050468750
-19.7600000000,-0.0050781250
-19.7560000000,-0.0050468750
-19.7520000000,-0.0049062500
-19.7480000000,-0.0049531250
-19.7440000000,-0.0050468750
-19.7400000000,-0.0050156250
-19.7360000000,-0.0048906250
-19.7320000000,-0.0049062500
-19.7280000000,-0.0048906250
-19.7240000000,-0.0048906250
-19.7200000000,-0.0050937500
-19.7160000000,-0.0049843750
-19.7120000000,-0.0051562500
-19.7080000000,-0.0051875000
-19.7040000000,-0.0052343750
-19.7000000000,-0.0049375000
-19.6960000000,-0.0049687500
-19.6920000000,-0.0049843750
-19.6880000000,-0.0048906250
-19.6840000000,-0.0049687500
-19.6800000000,-0.0050781250
-19.6760000000,-0.0049062500
-19.6720000000,-0.0052500000
-19.6680000000,-0.0048750000
-19.6640000000,-0.0047187500
-19.6600000000,-0.0049531250
-19.6560000000,-0.0050625000
-19.6520000000,-0.0049218750
-19.6480000000,-0.0051406250
-19.6440000000,-0.0050937500
-19.6400000000,-0.0047187500
-19.6360000000,-0.0051406250
-19.6320000000,-0.0050000000
-19.6280000000,-0.0050312500
-19.6240000000,-0.0049687500
-19.6200000000,-0.0050781250
-19.6160000000,-0.0050625000
-19.6120000000,-0.0049531250
-19.6080000000,-0.0050000000
-19.6040000000,-0.0049687500
-19.6000000000,-0.0049687500
-19.5960000000,-0.0048906250
-19.5920000000,-0.0048906250
-19.5880000000,-0.0049375000
-19.5840000000,-0.0049531250
-19.5800000000,-0.0050781250
-19.5760000000,-0.0051562500
-19.5720000000,-0.0049531250
-19.5680000000,-0.0048906250
-19.5640000000,-0.0049687500
-19.5600000000,-0.0051250000
-19.5560000000,-0.0050781250
-19.5520000000,-0.0049687500
-19.5480000000,-0.0051718750
-19.5440000000,-0.0051875000
-19.5400000000,-0.0051093750
-19.5360000000,-0.0050625000
-19.5320000000,-0.0050937500
-19.5280000000,-0.0051093750
-19.5240000000,-0.0050312500
-19.5200000000,-0.0052343750
-19.5160000000,-0.0051406250
-19.5120000000,-0.0050468750
-19.5080000000,-0.0051718750
-19.5040000000,-0.0050312500
-19.5000000000,-0.0050312500
-19.4960000000,-0.0048750000
-19.4920000000,-0.0049375000
-19.4880000000,-0.0051406250
-19.4840000000,-0.0051093750
-19.4800000000,-0.0049843750
-19.4760000000,-0.0048750000
-19.4720000000,-0.0052343750
-19.4680000000,-0.0049843750
-19.4640000000,-0.0050468750
-19.4600000000,-0.0050000000
-19.4560000000,-0.0051718750
-19.4520000000,-0.0048593750
-19.4480000000,-0.0051875000
-19.4440000000,-0.0051875000
-19.4400000000,-0.0048906250
-19.4360000000,-0.0049843750
-19.4320000000,-0.0048906250
-19.4280000000,-0.0050312500
-19.4240000000,-0.0050156250
-19.4200000000,-0.0049687500
-19.4160000000,-0.0050625000
-19.4120000000,-0.0050468750
-19.4080000000,-0.0049062500
-19.4040000000,-0.0050000000
-19.4000000000,-0.0050625000
-19.3960000000,-0.0051406250
-19.3920000000,-0.0050000000
-19.3880000000,-0.0052500000
-19.3840000000,-0.0050000000
-19.3800000000,-0.0050781250
-19.3760000000,-0.0050312500
-19.3720000000,-0.0049687500
-19.3680000000,-0.0048906250
-19.3640000000,-0.0049218750
-19.3600000000,-0.0050625000
-19.3560000000,-0.0050625000
-19.3520000000,-0.0050781250
-19.3480000000,-0.0048906250
-19.3440000000,-0.0051093750
-19.3400000000,-0.0049218750
